planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,valid
3,1,5761,0.020271762,0.0,0.020271762,2.1439763258372e-07,0.032239751,0.032239751,35.631481,0,51.315492,True
4,1,6113,2.188275,0.07560382422831201,2.2638788291012,0.000267632658574,0.139427857952,0.31018687451884,0.20473084,0,676.72156771988,True
6,1,6001,0.17804708,2.8690022655656e-05,0.17807577690856,2.676854949776e-06,0.064605647290272,0.071044897908344,17.249997,0,66.404775671984,True
9,1,5916,0.073254235,0.0,0.073254235,8.57918618586e-07,0.048820069,0.048820069,22.520062,0,64.533204,True
13,1,6363,1.4464076,0.25819924749056,1.7046068018805,0.0002599715389494,0.12321011329442,0.35900267341903,0.92237994,0,287.05548561006,True
16,1,5761,0.038470145,0.0,0.038470145,4.2846764227584003e-07,0.039657021,0.039657021,27.341945,0,58.578655,True
19,1,5940,2.4660889,0.32806425938407996,2.7941531323068,0.0003015642465152,0.143179046903,0.27909787007072,6.3907579,0,109.10506092098,True
28,1,5761,0.0186916,0.0,0.0186916,1.9763549071545002e-07,0.031379595,0.031379595,37.022295,0,50.310808,True
38,1,5761,0.0422863,0.0,0.0422863,4.7325172930177e-07,0.040901711,0.040901711,26.372451,0,59.633585,True
41,1,5761,0.021046375,0.0,0.021046375,2.227006728311e-07,0.03264376,0.03264376,34.654686,0,52.003665,True
43,1,5761,0.10589582,0.0,0.10589582,2.7770579396559e-06,0.043139494,0.043139494,0.18720513,0,707.46603,True
45,1,6340,1.3850651,0.22766959386048,1.612734701468,0.000240392104116,0.12180143938708,0.35820833224883997,0.82271566,0,303.92743380376,True
46,1,6164,0.25996371,0.004591358582638225,0.2645550668587621,1.29588777081262e-05,0.07042160780113348,0.15726683280994244,3.0725294,0,157.2825102984515,True
48,1,5761,0.034896469,0.0,0.034896469,3.8639729459588e-07,0.038417835,0.038417835,28.380954,0,57.495344,True
49,1,6656,1.6478013,0.4823998694686939,2.1302012196818154,0.0003657789142454862,0.1275200395109082,0.40735227350272657,1.1287479,0,259.4815102131212,True
59,1,5924,0.11287864,1.238652648845e-06,0.1128798791015,1.3751730257499999e-06,0.056069213203,0.05858645078305,19.680087,0,62.1708106524,True
