planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,valid
7,2,1943,0.2955833052689227,0.0,0.2955833052689227,0.00016188555725770736,0.059674051663753766,0.059674051663753766,0.58475072,0,330.52067510158287,True
9,2,1945,1.0179732,0.035047461054192396,1.0530206714202754,0.0044753194834173055,0.09282157573703387,0.37375499682707275,0.49445545,0,359.5083617206559,True
14,2,1714,0.37104728,0.0,0.37104728,0.00019003785843211155,0.06351536459597529,0.06351536459597529,0.21211914,0,548.6865018340055,True
15,2,1946,3.5670706,1.474712628033617,5.041783320504251,0.14139417468766893,0.15520547293851672,0.916964856322308,0.64823851,0,314.1205733007323,True
16,2,1945,1.2390939,0.049023064803412564,1.2881169589856376,0.006077080972232779,0.09402502963878469,0.3858579570054522,0.40810592,0,395.7567085164476,True
4,2,1760,0.29618126,0.0,0.29618126,0.00016199835705095098,0.059724629405912895,0.059724629405912895,0.36804892,0,416.478382083215,True
6,2,1945,0.58377091,0.0003029649265111898,0.584073875963258,0.001165308299811486,0.07386905328760336,0.1219739165176241,0.32600963,0,442.7992160827504,True
8,2,1801,0.040767452,0.0,0.040767452,1.0951963309251056e-05,0.039673021882266596,0.039673021882266596,10.355805,0,78.52150211588335,True
10,2,1752,0.68275005,0.0,0.68275005,0.00033677595210556565,0.07634808816628319,0.07634808816628319,0.17535071,0,603.5103942842751,True
11,2,1801,0.22020084,0.0,0.22020084,0.00010804873205773628,0.053619939746982474,0.053619939746982474,0.11045809,0,760.2617576196512,True
12,2,1824,0.59965269,0.0,0.59965269,0.0003185456973765403,0.07411390963288036,0.07411390963288036,0.28820202,0,470.7964747473657,True
18,2,1801,0.014936007,0.0,0.014936007,3.7925573834287355e-06,0.028572002045703666,0.028572002045703666,19.326226,0,57.48789844066715,True
19,2,1725,0.36847312,0.0,0.36847312,0.00019409231366760059,0.06363015914185109,0.06363015914185109,0.24050994,0,515.2931550334682,True
20,2,1801,0.089903822,0.0,0.089903822,4.425549671087357e-05,0.04028212391041954,0.04028212391041954,0.08101487,0,887.8107595166457,True
1,3,1292,0.019348062,0.0,0.019348062,9.494406044306501e-06,0.024133415870013823,0.024133415870013823,0.07474545,0,924.2611110306731,True
2,3,1298,0.26188429,0.0,0.26188429,0.00014073565392900623,0.057266454454865105,0.057266454454865105,0.68092538,0,306.2855747711367,True
3,3,1292,0.048795188,0.0,0.048795188,1.3203503688609581e-05,0.04211608026640996,0.04211608026640996,6.657613,0,97.93743669191515,True
4,3,1502,1.2396719,0.0019894716871315518,1.2416613353967951,0.010253188116484962,0.11629267895626662,0.15944225259120845,2.7956876,0,139.63091350546023,True
6,3,1292,0.19066204,0.0,0.19066204,9.320543201456991e-05,0.05115519798841825,0.05115519798841825,0.19276414,0,575.5644761436707,True
