planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,valid
5,2,631,0.015378064,1e-08,0.015378074,0.001,0.022591436,0.022593695,0.08382460595163908,0,0.0,True
7,2,631,0.059825763651954904,5.1696923879047704e-08,0.05982581510890936,0.4880854731942221,0.03608744803387154,0.4506618885089739,2.1573828742999956,0,268.3223571671782,True
9,2,631,0.2655707289076261,9.475964906495755e-06,0.26558020003352684,6.291596910842008,0.06731878573141847,1.8006286407937462,2.2861221946623966,0,222.70872990153234,True
14,2,631,0.358072376210524,5.436101964317012e-06,0.3580778091907415,7.2889913522801555,0.06358255473402612,0.5556671089948626,0.41006962654929496,0,413.7453720226181,True
15,2,631,0.1339804782271929,9.380289654359046e-07,0.13398141008150968,2.587992973839072,0.061770414523457655,1.617702537493884,4.341098130918067,0,245.46556411762742,True
16,2,631,0.1512144221610622,8.524425858019197e-07,0.151215274015379,3.426997654290099,0.04890191438328441,0.7556611728707967,1.5571441036690463,0,282.85186755888043,True
17,2,631,0.2955255425174028,0.0001366382698149632,0.2956621794743017,0.032663615277677645,0.060171638668885113,0.6896460471259785,0.6168754226615737,0,267.48312053598437,True
1,2,631,0.01747184,1e-08,0.01747185,0.001,0.02356859,0.023570947,0.09163723636585935,0,0.0,True
2,2,631,0.14300608503358242,7.361267720181148e-06,0.1430134452985722,0.003747474056339511,0.04786197723183547,0.41604376770622054,0.6830494614003425,0,245.26015116359753,True
3,2,631,0.010988265,1e-08,0.010988275,0.19323103766057287,0.020209228,0.020211249,0.0691982165368795,0,0.0,True
4,2,631,0.11152985726992706,4.267108281257785e-07,0.11153028455469932,1.3755401748087361,0.04436310131010364,0.6040483597014835,1.6382064958294413,0,245.31389833961614,True
6,2,631,0.5816690209226826,0.0007449322543868435,0.5824139569698537,1.1389394928998742,0.07446485681701472,1.4829750051702473,0.8204451903342673,0,215.2089287396584,True
8,2,631,0.017836455413914463,1e-08,0.017836465413914464,0.004071604814392069,0.031759384399319454,0.3764114664315341,10.53230287403812,0,0.0,True
10,2,631,0.23027764908298862,4.4439650089916395e-07,0.23027809365253316,3.7614422059997996,0.05513660778561738,0.32783287101925984,0.33197054569889245,0,487.2982604841095,True
11,2,631,0.04782959592631884,1e-08,0.04782960592631883,0.14440652553537273,0.03296679618264056,0.05067601552319078,0.16996853991876834,0,0.0,True
12,2,631,0.16078089212236457,3.29531563024531e-06,0.16078418324826527,0.024502086753808543,0.049594476814874125,0.3874343667708055,0.5630641953898674,0,289.289541232486,True
13,2,631,0.030244934976397787,1e-08,0.030244944976397785,0.03919370189264738,0.02830448851496753,0.028983974677664354,0.13564597105323148,0,0.0,True
18,2,631,0.012307773338320657,1e-08,0.012307783338320657,0.001,0.028298191212358777,0.3437181410687439,19.41184937745752,0,0.0,True
19,2,631,0.3629853625418668,6.012114658278294e-05,0.36304548386803887,0.3423623060168685,0.0641124331139356,0.6704479779374611,0.5004030715308914,0,320.23120370413,True
20,2,631,0.01913503,1e-08,0.01913504,0.001,0.024303146,0.024305577,0.09830094082983609,0,0.0,True
1,3,678,0.0157973958312778,1e-08,0.0157974058312778,0.026415764709309918,0.022785947859384797,0.02278822593158947,0.07504534432949957,0,0.0,True
2,3,678,0.2603662809103577,7.526215051417385e-05,0.2604415411346194,0.21627492642966856,0.0579220234881912,0.8518241659216035,0.7694173779130704,0,191.70395233555476,True
3,3,678,0.026584701296626864,1.0067645167307943e-08,0.02658471136883154,0.024851966240665387,0.0362396770908575,0.4504574121262676,6.675789418793063,0,0.0,True
4,3,678,0.26770560929539383,6.573305866698261e-06,0.2677121830142823,9.127576040371276,0.07479440438382094,2.4885950273954083,3.09826712958098,0,240.06649960388745,True
6,3,678,0.11553344958665482,1e-08,0.11553345958665481,0.7708230787762762,0.044113237225952326,0.15514313460663576,0.2102944800895799,0,0.0,True
8,3,678,0.028461093558033817,1e-08,0.02846110355803382,0.029052389721289137,0.027734496820670824,0.0277372708928755,0.10179097272013929,0,0.0,True
10,3,678,0.12159675758496721,1.637257477142713e-08,0.12159676758496721,0.004563833967475506,0.04487044556361362,0.17897805093281952,0.2375117132481111,0,0.0,True
11,3,678,0.31642676662151525,9.215212310144963e-06,0.31643598611677776,11.449435639951155,0.061752358136889396,1.2937099183566025,1.122357435842066,0,264.76412542411555,True
12,3,678,0.04847468095761667,1e-08,0.04847469095761667,0.1564253481632106,0.033118251446776464,0.054269455603513074,0.14020323086983133,0,0.0,True
13,3,678,0.010239609054327319,1e-08,0.010239619054327319,0.001,0.02679345047668991,0.3078582603023433,22.854764058876135,0,0.0,True
18,3,678,0.010313401220467599,1e-08,0.010313411220467599,0.001,0.026824874281806813,0.3048227122442219,21.977519783385972,0,0.0,True
19,3,678,0.016249805,1e-08,0.016249815,0.001,0.02300142,0.02300372,0.07752885074800858,0,0.0,True
20,3,678,0.45116250378484773,0.00022942787859616548,0.45139193768946223,1.250481003613205,0.06880032741340461,1.1664060632223217,0.6678086968726064,0,208.37435195994306,True
5,3,678,0.173716032918255,1.6990316542052052e-06,0.17371772725053555,4.032583916980964,0.05110914236105012,0.9657538966806113,1.400950972077511,0,255.75784923680294,True
7,3,678,0.013072284522873331,1e-08,0.013072294522873331,0.002523633261646724,0.021386843799813413,0.02138898279981341,0.05713936019444634,0,0.0,True
9,3,678,0.2923446726690951,8.63559092231357e-05,0.2924310239413675,0.44547431584245206,0.06008838340367115,1.017429329672491,0.8816787851037374,0,182.6099015556896,True
