planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,valid
7,2,1908,0.29558519,6.161789146830227e-05,0.2956468076378851,0.0004554499461468239,0.05976169590478002,0.09167817409680487,0.58475072,0,330.24235056358566,True
9,2,1908,1.0179732,0.037550694714340055,1.0555238767211867,0.0048099971538037275,0.09284501510453912,0.39632821059591733,0.49445545,0,359.1427338512743,True
14,2,1711,0.37104728,0.0,0.37104728,0.000190986066301153,0.06351529,0.06351529,0.21211914,0,548.2403380123487,True
15,2,1908,3.5670706,1.4828081921516418,5.049878825542031,0.16181991566628628,0.15531725881894257,0.9496216373722581,0.64823851,0,313.81045993026504,True
16,2,1908,1.2390939,0.052423070330543935,1.2915169683339673,0.006555011452611893,0.09405056175180677,0.4094992635279574,0.40810592,0,395.35433090592113,True
4,2,1757,0.29618126,0.0,0.29618126,0.00016280666198338807,0.059724557,0.059724557,0.36804892,0,416.10105842138086,True
6,2,1908,0.58377091,0.001318540127849626,0.5850894526924052,0.0011512052922720932,0.07398863952256877,0.16387152052808418,0.32600963,0,442.34040145365793,True
8,2,1798,0.040767452,0.0,0.040767452,1.1006607907840988e-05,0.039672998,0.039672998,10.355805,0,78.45854440606671,True
10,2,1749,0.68275005,0.0,0.68275005,0.00033845626155308496,0.076347963,0.076347963,0.17535071,0,602.988081879438,True
11,2,1798,0.22020084,0.0,0.22020084,0.00010858784351212507,0.05361986,0.05361986,0.11045809,0,759.6521840389053,True
12,2,1820,0.59965269,0.0,0.59965269,0.00032013510194480214,0.074113777,0.074113777,0.28820202,0,470.35290086358526,True
18,2,1798,0.014936007,0.0,0.014936007,3.8114802755036974e-06,0.028571989,0.028571989,19.326226,0,57.44180526669566,True
19,2,1723,0.36847312,0.0,0.36847312,0.00019506067809627641,0.063630084,0.063630084,0.24050994,0,514.8511,True
20,2,1798,0.089903822,0.0,0.089903822,4.447630839019959e-05,0.040282054,0.040282054,0.08101487,0,887.0989206470242,True
1,3,1289,0.019348062,0.0,0.019348062,9.541778664097755e-06,0.024133372,0.024133372,0.07474545,0,923.5180199299278,True
2,3,1294,0.26188429,0.0,0.26188429,0.00014143784005742852,0.057266392,0.057266392,0.68092538,0,305.98649,True
3,3,1289,0.048795188,0.0,0.048795188,1.3269382712580752e-05,0.042116049,0.042116049,6.657613,0,97.85869634764532,True
4,3,1459,1.2396719,0.0020148197247389673,1.24168665792163,0.01236495834399863,0.11636440745313462,0.16125602476958772,2.7956876,0,140.1044048210018,True
6,3,1289,0.19066204,0.0,0.19066204,9.367048244020622e-05,0.051155141,0.051155141,0.19276414,0,575.1017332635862,True
8,3,1289,0.032902658,0.0,0.032902658,1.6257440588666283e-05,0.028795201,0.028795201,0.10118828,0,793.7739279622225,True
10,3,1289,0.1219477,0.0,0.1219477,6.004671186889585e-05,0.044372978,0.044372978,0.22416859,0,533.2978221805723,True
11,3,1400,0.441852,0.0012584105021757324,0.4431104030460251,0.0004416355660251046,0.06789732949707113,0.12233676415062762,0.98528566,0,229.12378743933056,True
12,3,1289,0.066590835,0.0,0.066590835,3.286691740106342e-05,0.0363979,0.0363979,0.13643489,0,683.5888748179182,True
13,3,1289,0.010327007,0.0,0.010327007,2.5391281067284154e-06,0.025401204,0.025401204,22.852544,0,52.818494556441564,True
18,3,1289,0.010433125,0.0,0.010433125,2.5829834531571683e-06,0.025463182,0.025463182,21.974428,0,53.8628558796729,True
19,3,1289,0.018065029,0.0,0.018065029,8.909032487532632e-06,0.023585929,0.023585929,0.077216917,0,908.6004458764439,True
20,3,1400,0.46237808,9.822796670125523e-05,0.46247630195815903,0.0005058278411129708,0.06853679843012553,0.0939777368125523,0.57414514,0,333.3412030962343,True
5,3,1295,0.46712369,0.0,0.46712369,0.0002571245215932498,0.068826262,0.068826262,1.2645696,0,224.52169572317092,True
7,3,1289,0.013707331,0.0,0.013707331,6.7486341264402305e-06,0.021523244,0.021523244,0.057043409,0,1057.1996627188037,True
9,3,1400,0.29516258,1.0833004813389121e-05,0.2951734092384938,0.0002949091308451883,0.059496666792468615,0.0728061996376569,0.78057211,0,257.4316026778243,True
14,3,1193,0.25734604,0.0,0.25734604,0.00012756777598861961,0.056294486,0.056294486,0.25880114,0,496.32416,True
15,3,1289,0.16149769,0.0,0.16149769,8.167943276171388e-05,0.048701592,0.048701592,0.30106254,0,460.18345140061825,True
16,3,1399,0.84595457,0.0,0.84595457,0.00044858456525755786,0.08224865309587467,0.08224865309587467,0.46665635,0,369.6904397200834,True
17,3,1400,2.1654718,0.038795594441841004,2.2042673918828455,0.010724334904602511,0.1263298729707113,0.22202619266108786,1.657394,0,177.507669832636,True
5,6,1486,0.025478908,0.0,0.025478908,6.809940289134575e-06,0.033941284,0.033941284,11.552002,0,74.29146228119457,True
7,6,1599,1.1461711,0.0004770267746587084,1.146648052806218,0.0017086210614540476,0.09025056416513354,0.12222226254794312,0.31235499,0,451.9092926902035,True
9,6,1486,0.11185109,0.0,0.11185109,3.0445960821970882e-05,0.055432162,0.055432162,6.7434752,0,97.23116050356116,True
14,6,1486,0.019494996,0.0,0.019494996,9.628560200514249e-06,0.024189185,0.024189185,0.090691093,0,838.4211570996652,True
15,6,1486,0.046364273,0.0,0.046364273,2.2856939956052625e-05,0.032255222,0.032255222,0.13534096,0,686.3344821724534,True
16,6,1486,0.030180918,0.0,0.030180918,1.4901983973075852e-05,0.02796788,0.02796788,0.11662541,0,739.3287883134014,True
17,6,1486,0.045710495,0.0,0.045710495,2.2570333862988117e-05,0.032106466,0.032106466,0.14467779,0,663.8099358497956,True
1,6,1499,0.41082973,0.0,0.41082973,0.00021872935024799296,0.065856088,0.065856088,0.36260065,0,419.32876121976614,True
2,6,1486,0.028897957,0.0,0.028897957,1.4290774583453009e-05,0.027559482,0.027559482,0.1514938,0,648.7113433570744,True
3,6,1599,1.0396969,0.02674404049174269,1.066440975145018,0.0037641337579856597,0.08878797918978186,0.2960955968296997,0.47559793,0,366.22881798020785,True
4,6,1486,0.011128457,0.0,0.011128457,2.738812225685032e-06,0.026038571,0.026038571,22.62379,0,53.08582875795453,True
6,6,1486,0.077457107,0.0,0.077457107,2.102562333732967e-05,0.04913598,0.04913598,7.3825921,0,92.93150220559922,True
8,6,1486,0.034005589,0.0,0.034005589,9.188976998343398e-06,0.037342005,0.037342005,9.81973,0,80.57778124485266,True
10,6,1576,0.27131354,0.0,0.27131354,0.00014671064429379918,0.057921161302605655,0.057921161302605655,0.66221682,0,310.23363520913125,True
11,6,1601,2.969649,0.03801192031862559,3.0076609556916445,0.06405424062977051,0.15435141231089133,0.2514645909638646,3.4228101,0,133.7911600811462,True
12,6,1599,0.96944924,0.004886253577508416,0.9743354909254528,0.003371756997240378,0.08755478466359619,0.14655840565934866,1.6308312,0,178.68027382207316,True
13,6,1486,0.023297043,0.0,0.023297043,1.156135544861232e-05,0.025682891,0.025682891,0.097294406,0,809.4769069470708,True
18,6,1486,0.026726337,0.0,0.026726337,1.3249676037518214e-05,0.0268778,0.0268778,0.10524017,0,778.3050019616285,True
19,6,1486,0.042320289,0.0,0.042320289,1.1463994856301779e-05,0.040162067,0.040162067,8.9649918,0,84.33009512639055,True
20,6,1599,1.2541103,0.03056466794899803,1.2846749699078859,0.00323151886751279,0.09414714274675888,0.219900559586342,1.0512371,0,221.90327374701246,True
5,8,2043,0.03852635,0.0,0.03852635,1.02267819174323e-05,0.038992985,0.038992985,14.053244,0,67.3695136732547,True
7,8,2043,0.011516284,0.0,0.011516284,2.6629956577283907e-06,0.02655938,0.02655938,30.418794,0,45.79441568678991,True
9,8,2043,0.13954416,0.0,0.13954416,6.675767086626064e-05,0.046328632,0.046328632,0.03443265306036816,0,1359.941974864661,True
14,8,2148,7.2083468,0.3980950094915018,7.6064417625862975,0.2162673872190771,0.19421353600105237,0.35006768674297417,3.9005798,0,135.43441009148023,True
15,8,2148,0.88830116,0.029625748798813228,0.9179269102376076,0.002631661459041201,0.08479437377336613,0.27255426968359125,1.0126029,0,226.03367568775002,True
16,8,2043,0.080352788,0.0,0.080352788,4.014324290402816e-05,0.038973032,0.038973032,0.028425979590552247,0,1497.5894671629842,True
1,8,2015,0.93820085,0.0,0.93820085,0.0004766683859997106,0.084462367,0.084462367,0.14903741,0,653.94489,True
2,8,2043,0.57847391,0.0,0.57847391,0.0002842063843245421,0.072623021,0.072623021,0.05466461468678939,0,1079.8491649837697,True
3,8,2148,2.2220566,0.3710620957354237,2.5931186607009047,0.03345075084730472,0.11984620667285832,0.528251309133442,1.2342369,0,204.9887272570512,True
4,8,2043,0.29839642,0.0,0.29839642,0.0001454613538034455,0.059059144,0.059059144,0.041714231373578776,0,1235.916227098011,True
6,8,2148,1.6491252,0.12200571908114037,1.7711309678570297,0.012383132345234851,0.102557191431225,0.3907963007693088,0.76804316,0,259.5588723168018,True
8,8,2116,0.25413516,0.0,0.25413516,6.901041743676863e-05,0.07179902505489268,0.07179902505489268,8.3909506,0,87.1873619517217,True
10,8,2148,1.2037891,0.004602752470631867,1.2083918544209105,0.0037832650594640514,0.09228381461125024,0.1981402884442655,0.18056597,0,594.2923670380185,True
11,8,2043,0.51370319,0.0,0.51370319,0.0002523517695492351,0.069924959,0.069924959,0.086780455,0,857.0471059853915,True
12,8,2148,2.6768147,0.2787878951838797,2.955602587054565,0.035634106294473784,0.11849144156930119,0.6003827025935248,0.28677243,0,471.63850555633036,True
18,8,1955,1.2161816,0.0,1.2161816,0.0005973473604287051,0.090939158,0.090939158,0.11372153,0,748.6606736625104,True
