planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,transit_radius,ice_frac,iron_frac,valid
50,106,2622,0.017957396,0.0,0.017957396,1.8092559159296e-06,0.030376455,0.030376455,8.6922042,0,16.201821,0.030376455,0.53028987,0.25502002,True
46,106,2622,0.47610533,0.0,0.47610533,9.2622452233392e-05,0.068065108,0.068065108,0.044436817,0,224.79313,0.068065108,0.0,0.32433543,True
37,106,2534,1.0835454,0.0,1.0835454,0.00022758712187601998,0.088558116,0.088558116,0.10135622,0,149.91479,0.088558116,0.0,0.27056151,True
41,106,2965,0.55096269,0.001049839991384034,0.5520125340311761,0.00010694196842979799,0.0909177176893662,0.10346316540826364,1.8097655,0,37.3832641569035,0.10266308366278586,0.47711653,0.24379424,True
36,106,2622,0.011246611,0.0,0.011246611,1.1104174970624e-06,0.026065293,0.026065293,13.757632,0,12.879935,0.026065293,0.53970325,0.25502002,True
29,106,2622,0.010633659,0.0,0.010633659,1.0443773272496e-06,0.025602013,0.025602013,15.474951,0,12.14034,0.025602013,0.54212386,0.25502002,True
7,817,4580,3.9995202,0.025943962581631005,4.025464151584627,0.002470522674672071,0.16588447486304692,0.2044198272182919,0.13321801,0,131.3341271618446,0.20293715972683982,0.47624904,0.24431306,True
8,817,4206,1.2315155,0.0,1.2315155,0.00015154326856682,0.11355726,0.11355726,0.69934141,0,56.992037,0.11355726,0.43384183,0.24511965,True
39,817,4146,5.0357212,0.04664243839327311,5.082363626564596,0.0013799794084793737,0.17239487681796653,0.21771080949457022,0.023237574828677734,0,312.3631930415951,0.21429721969127524,0.42146983,0.24344091,True
21,817,4109,0.044773595,0.0,0.044773595,4.429065082672e-06,0.041299392,0.041299392,13.040087,0,13.219337,0.041299392,0.53881236,0.25502002,True
25,817,4109,0.035236376,0.0,0.035236376,3.4611196436145e-06,0.038169843,0.038169843,14.235624,0,12.631173,0.038169843,0.54216541,0.25502002,True
49,817,4780,0.47591392,0.0003673980203736568,0.4762813183515514,8.327501696650545e-05,0.08795998279883281,0.09582047790559607,7.4071425,0,30.70511671151296,0.09519159188321275,0.52180945,0.24976313,True
28,817,4342,0.20116451,5.237328320847077e-05,0.2012168828745145,2.7110042115943402e-05,0.06729050302567238,0.07228315325235754,8.9258364,0,26.799139785130514,0.07144281830892978,0.52866754,0.25223922,True
40,817,4246,0.14408094,1.7369152472933428e-05,0.14409830270509827,1.7804661990213004e-05,0.06056612194731696,0.06410067544979323,9.9156477,0,25.60192549229959,0.063178963753764,0.53054855,0.2529005,True
18,817,4206,7.598126412128,0.0,7.598126412128,0.001168043541057,0.18154765572318002,0.18154765572318002,0.013815457297108,0,405.18621040692,0.18196278352184,0.2943157877449,0.24340889,True
35,817,4157,1.8156028,0.0,1.8156028,0.00024595556694300997,0.12511532,0.12511532,0.08174627,0,167.01417,0.12511532,0.37720759,0.24467743,True
46,817,4206,0.027207181,0.0,0.027207181,2.6663498858176e-06,0.035027478,0.035027478,15.774136,0,12.063184,0.035027478,0.54311374,0.25502002,True
44,817,4108,0.10129497,4.3882582416146e-06,0.10129935476336001,1.1689695925922e-05,0.054153263864902,0.056283466532044,10.982225,0,24.571128860027997,0.0552677499929,0.53254638,0.25367179,True
11,817,4206,1.519329,0.0,1.519329,0.0001753055551298,0.12229107,0.12229107,0.25552378,0,94.264437,0.12229107,0.46941477,0.24472034,True
27,817,4169,0.29056942,0.0,0.29056942,3.1340660410656e-05,0.074820254,0.074820254,0.44142155,0,71.475238,0.074820254,0.5032682,0.2459036,True
7,429,1731,0.31091905,0.0,0.31091905,6.519124948348e-05,0.060534052,0.060534052,0.1314416,0,129.92024,0.060534052,0.0061379233,0.26728645,True
6,429,1731,0.010487464,0.0,0.010487464,1.0557370962885e-06,0.025394137,0.025394137,8.8535225,0,16.036782,0.025394137,0.53069082,0.25502001,True
8,429,1731,0.01151289,0.0,0.01151289,1.1609566926560001e-06,0.026190544,0.026190544,7.172611,0,17.803326,0.026190544,0.52989795,0.25499725,True
39,429,1731,0.18602514,0.0,0.18602514,3.9253477528460003e-05,0.051800746,0.051800746,0.38965958,0,71.044057,0.051800746,0.012950035,0.25751833,True
47,429,1731,0.22227073,0.0,0.22227073,4.7511717080615e-05,0.055269152,0.055269152,0.53765285,0,66.783113,0.055269152,0.020640797,0.24195529,True
21,429,1731,0.010000243,0.0,0.010000243,9.70621705637e-07,0.02512523,0.02512523,17.533845,0,11.404732,0.02512523,0.5475056,0.25502002,True
25,429,1731,0.030521148,0.0,0.030521148,3.2821200671015e-06,0.035992346,0.035992346,1.9497397,0,32.996178,0.035992346,0.50541674,0.24485115,True
28,429,1731,0.012947007,0.0,0.012947007,1.3096727291519999e-06,0.027237096,0.027237096,5.9613801,0,19.264984,0.027237096,0.52966165,0.25303306,True
14,429,1731,0.010299562,0.0,0.010299562,1.0281173325878001e-06,0.025272855,0.025272855,9.5803769,0,15.415069,0.025272855,0.53463072,0.25502002,True
9,429,1731,0.010835948,0.0,0.010835948,1.08932398297e-06,0.02567793,0.02567793,8.19258,0,16.664104,0.02567793,0.53133374,0.2550196,True
40,429,1731,0.13792234,0.0,0.13792234,1.591841801155e-05,0.058540006,0.058540006,2.1328272,0,32.13333,0.058540006,0.47042021,0.243076,True
30,429,1731,0.015576544,0.0,0.015576544,1.6505350825765e-06,0.028792712,0.028792712,5.3346463,0,19.592412,0.028792712,0.51004505,0.24886865,True
17,429,1731,0.010007476,0.0,0.010007476,9.8725926713325e-07,0.025073431,0.025073431,14.151054,0,12.694578,0.025073431,0.54008198,0.25502002,True
18,429,1731,0.010191769,0.0,0.010191769,1.01725622487035e-06,0.02518452,0.02518452,10.256826,0,14.973322,0.02518452,0.53467696,0.25502002,True
2,429,1731,0.14219019,0.0,0.14219019,2.1162072052315e-05,0.055910606,0.055910606,2.1312404,0,32.716104,0.055910606,0.31775688,0.24235153,True
22,429,1731,0.030156608,0.0,0.030156608,3.2476726265205e-06,0.035836271,0.035836271,2.4135957,0,29.530819,0.035836271,0.5046017,0.24498843,True
13,429,1731,0.011109311,0.0,0.011109311,1.1183304538605e-06,0.025887373,0.025887373,7.2058608,0,17.706353,0.025887373,0.53069635,0.25501514,True
12,429,1731,0.051784737,0.0,0.051784737,1.0528006286005001e-05,0.035495974,0.035495974,2.440814,0,29.757128,0.035495974,0.068583419,0.24191347,True
35,429,1731,0.025997328,0.0,0.025997328,2.7955758144510003e-06,0.03412123,0.03412123,1.086242,0,41.31472,0.03412123,0.50523536,0.24514719,True
50,429,1731,0.013269141,0.0,0.013269141,1.3508889388565e-06,0.027448083,0.027448083,5.8610906,0,19.691706,0.027448083,0.52785084,0.25111351,True
44,429,1731,0.028947283,0.0,0.028947283,3.1091485122935e-06,0.035353559,0.035353559,4.4772912,0,22.528531,0.035353559,0.50539865,0.24578228,True
45,429,1719,0.52410982,0.0,0.52410982,6.268729091336e-05,0.088247657,0.088247657,1.1108529,0,45.27253,0.088247657,0.45120555,0.24301158,True
11,429,1734,0.27640975,0.0,0.27640975,4.8338734019525e-05,0.065505782,0.065505782,0.72157536,0,56.102307,0.065505782,0.19778255,0.24301995,True
27,429,1731,0.023743097,0.0,0.023743097,2.5567453232605e-06,0.03307923,0.03307923,3.1553608,0,25.51783,0.03307923,0.50393798,0.24606744,True
36,429,1731,0.014394074,0.0,0.014394074,1.4782085875609999e-06,0.028169031,0.028169031,4.6125428,0,21.413262,0.028169031,0.52393988,0.2507814,True
43,429,1731,0.010107312,0.0,0.010107312,1.0044040157505499e-06,0.025130713,0.025130713,10.851789,0,14.432189,0.025130713,0.53671683,0.25502002,True
34,429,1662,0.14380685,0.0,0.14380685,1.6034925591936e-05,0.059668032,0.059668032,2.6080261,0,29.956482,0.059668032,0.48828014,0.24323507,True
6,400,2155,0.010635662,0.0,0.010635662,1.0559957185382001e-06,0.025563848,0.025563848,12.869574,0,13.311422,0.025563848,0.53711834,0.25502002,True
4,400,2155,0.014506747,0.0,0.014506747,1.4592514613571999e-06,0.02829785,0.02829785,8.307022,0,16.566353,0.02829785,0.53104364,0.25502002,True
10,400,2234,0.44875222,0.0006505738818133796,0.4494027894031568,0.00010404463208325197,0.07189016686072602,0.08687469687341225,0.66381034,0,60.00313285623519,0.08559638444047135,0.080731781,0.24513961,True
47,400,2155,0.040251146,0.0,0.040251146,4.3224963021974e-06,0.03945832,0.03945832,4.0331436,0,23.781067,0.03945832,0.50525256,0.24614161,True
14,400,2155,0.023503575,0.0,0.023503575,2.4037288831065997e-06,0.033197159,0.033197159,5.5735836,0,20.225605,0.033197159,0.52638941,0.25002447,True
20,400,2155,0.012539359,0.0,0.012539359,1.2508920477993999e-06,0.026988598,0.026988598,9.7287498,0,15.30887,0.026988598,0.5349316,0.25502002,True
40,400,2155,0.68672923,0.0,0.68672923,0.00014156646682254002,0.076840593,0.076840593,0.12184061,0,136.33,0.076840593,5.0618378e-06,0.28403134,True
30,400,2155,0.016921318,0.0,0.016921318,1.702534862738e-06,0.029787898,0.029787898,7.2314402,0,17.755946,0.029787898,0.53095148,0.25499188,True
33,400,2155,0.011362339,0.0,0.011362339,1.1293662970752e-06,0.026129667,0.026129667,11.169668,0,14.285085,0.026129667,0.53661769,0.25502002,True
1,400,2527,0.84772898,0.0018120858431245573,0.8495410650768997,0.00019219031277243752,0.10119386258221189,0.11518038007487605,1.3112204,0,42.62347653602145,0.1144877196559749,0.40303418,0.24289019,True
15,400,2155,0.2137866,0.0,0.2137866,4.6189439409674006e-05,0.053736744,0.053736744,0.29646082,0,87.432414,0.053736744,0.00036392842,0.24935043,True
24,400,2155,0.39926855,0.0,0.39926855,7.8519904461774e-05,0.06452787,0.06452787,0.049549757,0,212.0088,0.06452787,0.0,0.31698285,True
