planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,transit_radius,ice_frac,iron_frac,valid
4,450,5444,0.13192304,8.409930051615e-05,0.13200714,2.516901645415e-06,0.05927205053153,0.06472237337778,20.935307,0,24.87860394374,0.06370788246698,0.54950621,0.25502002,True
9,450,5709,0.28515435,0.00031178076778665,0.28546613,6.825397660347e-06,0.075039196175202,0.081745346259146,17.274443,0,27.597394497508,0.081006938822792,0.52585605,0.25502002,True
30,450,5282,2.9364509873949998,0.0,2.9364509873949998,3.9556191939762e-05,0.1501851777479,0.1501851777479,0.031960496157652,0,681.50513660986,0.15033628203698,0.48463661863193996,0.24443186,True
35,450,5294,2.6104923,0.043409765831515006,2.6539020506743998,0.00016111081134394,0.14677609427559,0.23049526224573,0.050786110339987,0,540.71042511348,0.22255908504045,0.50031653,0.24561355,True
44,450,5379,9.445956445152401,0.0,9.445956445152401,0.00015115922073616,0.19977891096952,0.19977891096952,0.018931317275134,0,885.2650096961801,0.20214571527556,0.38814449098386,0.24394121,True
45,450,7076,1.1699146,0.0029688479644030016,1.1728834,4.636788623044486e-05,0.11521803516048687,0.12443496972842341,11.550373,0,34.15215994772553,0.12403464464632238,0.50946854,0.25030354,True
29,450,5347,0.068335727,4.1806240369841e-05,0.068377533,1.1347525844191e-06,0.048228530654887,0.053616391307088,24.924343,0,22.726926873176,0.052270076655126,0.57950233,0.25502002,True
6,106,3153,1.0682539,0.00458388319110199,1.0728377854815359,7.205738981518242e-05,0.10668017624133753,0.14073294122454583,0.30192177,0,221.73031674613225,0.13430914907418753,0.34308482,0.24304602,True
4,106,2459,0.20922322,0.0,0.20922322,4.8957824025875005e-06,0.052647293077465,0.052647293077465,0.073329921,0,449.8777188974,0.052647293077465,0.0,0.32356192,True
8,106,2459,0.01324818,0.0,0.01324818,1.568817644032e-07,0.027542598,0.027542598,21.177321,0,26.46996418452,0.027542598,0.54049794,0.25502002,True
39,106,2459,0.29541763,0.0,0.29541763,6.9155629422895006e-06,0.05869961,0.05869961,0.085081895,0,417.5732121351,0.05869961,0.0,0.3232832,True
38,106,2459,0.011195797,0.0,0.011195797,1.2072497635549998e-07,0.026371214,0.026371214,26.086684,0,23.84985559283,0.026371214,0.58157914,0.25502002,True
5,106,2479,0.77559851,0.0,0.77559851,2.015289714816e-05,0.080393494,0.080393494,0.21458396,0,262.9348732752,0.080393494,0.0,0.24890245,True
21,106,2459,0.018309882,0.0,0.018309882,2.259392354391e-07,0.030493212,0.030493212,16.714855,0,29.79770471991,0.030493212,0.52117443,0.25502002,True
49,106,2459,0.12497084,0.0,0.12497084,2.9499724570035e-06,0.044773364,0.044773364,0.042697598767605004,0,589.5839004541999,0.044773364,0.0,0.31762185,True
32,106,3664,1.467755,0.17772550419062613,1.6454805412170144,0.00015565409172274414,0.1232759773139021,0.2500455847695587,1.3484561,0,94.54977800020148,0.24523662373568836,0.49325452,0.24378487,True
3,106,2459,0.016789087,0.0,0.016789087,2.0513340219905e-07,0.029668799,0.029668799,17.753215,0,28.920139445215,0.029668799,0.52588846,0.25502002,True
14,106,2459,0.055222885,0.0,0.055222885,7.102886676168e-07,0.043854577,0.043854577,9.0679165,0,40.453034572595,0.043854577,0.50528768,0.24841363,True
20,106,2459,0.062117792,0.0,0.062117792,7.8655924503695e-07,0.045663552077465,0.045663552077465,12.131469,0,34.975188741315,0.045663552077465,0.51002313,0.25293967,True
48,106,2872,4.920403,1.547829617803269,6.468232517803269,0.001495103613476043,0.1578338148025448,0.39397408014936,0.34106876,0,208.6854999069392,0.3874715295751014,0.26633502,0.2423609,True
