pl_name,pl_refname,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio
"Kepler-1998 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.040500,,,0,0.060,0.150,-0.150,0,"[Fe/H]"
"Kepler-1994 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.053000,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-1981 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,1.171200,,,0,-0.080,0.240,-0.300,0,"[Fe/H]"
"Kepler-1985 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.042600,,,0,0.140,0.150,-0.150,0,"[Fe/H]"
"Kepler-19 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.083300,,,0,-0.140,0.160,-0.140,0,"[Fe/H]"
"Kepler-21 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.042700,,,0,-0.150,0.060,-0.060,0,"[Fe/H]"
"GJ 411 b","<a refstr=D_IACUTE_AZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..17D/abstract target=ref>D&iacute;az et al. 2019</a>",0,0.078500,0.002700,-0.002700,0,-0.380,0.080,-0.080,0,"[Fe/H]"
"Kepler-1848 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.060800,,,0,0.420,0.060,-0.280,0,"[Fe/H]"
"Kepler-1038 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.069200,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-716 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.046100,,,0,-0.120,0.330,-0.280,0,"[Fe/H]"
"Kepler-1847 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.098900,,,0,-0.180,0.250,-0.300,0,"[Fe/H]"
"Kepler-1775 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.389700,,,0,-0.060,0.200,-0.320,0,"[Fe/H]"
"Kepler-1514 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.096900,,,0,-0.840,0.300,-0.300,0,"[Fe/H]"
"Kepler-1773 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.240600,,,0,0.080,0.100,-0.140,0,"[Fe/H]"
"Kepler-1959 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.061700,,,0,-0.020,0.300,-0.300,0,"[Fe/H]"
"Kepler-487 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.117000,,,0,-0.180,0.280,-0.260,0,"[Fe/H]"
"Kepler-1853 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.233200,,,0,-0.200,0.320,-0.240,0,"[Fe/H]"
"K2-146 c","<a refstr=LAM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..120L/abstract target=ref>Lam et al. 2020</a>",0,0.032700,0.000600,-0.000600,0,-0.020,0.120,-0.120,0,"[Fe/H]"
"Kepler-1695 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.052900,,,0,-0.240,0.300,-0.300,0,"[Fe/H]"
"Kepler-1991 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.152800,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-1991 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.106500,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-1935 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.046300,,,0,-0.180,0.300,-0.240,0,"[Fe/H]"
"Kepler-1987 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.057100,,,0,0.120,0.250,-0.300,0,"[Fe/H]"
"Kepler-1610 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.077700,,,0,-0.100,0.300,-0.300,0,"[Fe/H]"
"Kepler-1610 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.232300,,,0,-0.100,0.300,-0.300,0,"[Fe/H]"
"Kepler-549 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.157500,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-549 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.228300,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-549 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.445300,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-619 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.061100,,,0,-0.180,0.250,-0.350,0,"[Fe/H]"
"Kepler-618 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.102100,,,0,-0.180,0.250,-0.350,0,"[Fe/H]"
"Kepler-619 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.022500,,,0,-0.180,0.250,-0.350,0,"[Fe/H]"
"Kepler-164 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.095400,,,0,-0.100,0.150,-0.150,0,"[Fe/H]"
"Kepler-164 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.182600,,,0,-0.100,0.150,-0.150,0,"[Fe/H]"
"Kepler-164 e","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.402500,,,0,-0.100,0.150,-0.150,0,"[Fe/H]"
"Kepler-164 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.056800,,,0,-0.100,0.150,-0.150,0,"[Fe/H]"
"Kepler-1682 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.115200,,,0,-0.140,0.260,-0.260,0,"[Fe/H]"
"Kepler-1733 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.088600,,,0,-0.260,0.240,-0.280,0,"[Fe/H]"
"WASP-157 b","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>",0,0.049900,0.000600,-0.000600,0,0.250,0.060,-0.060,0,"[Fe/H]"
"WASP-89 b","<a refstr=HELLIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...18H/abstract target=ref>Hellier et al. 2015</a>",0,0.042700,0.001200,-0.001200,0,0.150,0.140,-0.140,0,"[Fe/H]"
"Kepler-107 e","<a refstr=BONOMO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..416B/abstract target=ref>Bonomo et al. 2019</a>",0,0.126390,0.000990,-0.000990,0,0.321,0.065,-0.065,0,"[Fe/H]"
"Kepler-107 c","<a refstr=BONOMO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..416B/abstract target=ref>Bonomo et al. 2019</a>",0,0.060640,0.000470,-0.000470,0,0.321,0.065,-0.065,0,"[Fe/H]"
"Kepler-107 b","<a refstr=BONOMO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..416B/abstract target=ref>Bonomo et al. 2019</a>",0,0.045440,0.000350,-0.000350,0,0.321,0.065,-0.065,0,"[Fe/H]"
"GJ 357 d","<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>",0,0.204000,0.015000,-0.015000,0,-0.120,0.160,-0.160,0,"[Fe/H]"
"K2-36 c","<a refstr=DAMASSO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..38D/abstract target=ref>Damasso et al. 2019</a>",0,0.054000,0.001000,-0.001000,0,-0.090,0.060,-0.040,0,"[Fe/H]"
"Kepler-454 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.096400,,,0,0.350,0.101,-0.101,0,"[Fe/H]"
"Kepler-1655 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.103000,,,0,-0.240,0.101,-0.101,0,"[Fe/H]"
"Kepler-93 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.053300,,,0,-0.180,0.101,-0.101,0,"[Fe/H]"
"Kepler-538 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.353000,,,0,-0.140,0.160,-0.140,0,"[Fe/H]"
"WASP-43 b","<a refstr=ESPOSITO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E/abstract target=ref>Esposito et al. 2017</a>",0,0.015040,0.000290,-0.000290,0,-0.010,0.150,-0.150,0,"[Fe/H]"
"K2-3 c","<a refstr=DAMASSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A..69D/abstract target=ref>Damasso et al. 2018</a>",0,0.141300,0.004400,-0.004700,0,-0.010,0.090,-0.090,0,"[Fe/H]"
"K2-3 d","<a refstr=DAMASSO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A..69D/abstract target=ref>Damasso et al. 2018</a>",0,0.209700,0.006500,-0.007000,0,-0.010,0.090,-0.090,0,"[Fe/H]"
"HD 86226 b","<a refstr=TESKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...96T/abstract target=ref>Teske et al. 2020</a>",0,2.730000,0.060000,-0.060000,0,0.018,0.057,-0.043,0,"[Fe/H]"
"K2-111 b","<a refstr=MORTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5004M/abstract target=ref>Mortier et al. 2020</a>",0,0.057000,0.001200,-0.001200,0,-0.460,0.050,-0.050,0,"[Fe/H]"
"K2-111 c","<a refstr=MORTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5004M/abstract target=ref>Mortier et al. 2020</a>",0,0.116600,0.002500,-0.002500,0,-0.460,0.050,-0.050,0,"[Fe/H]"
"HD 17156 b","<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>",0,0.160700,0.009100,-0.009100,0,0.220,,,0,"[Fe/H]"
"EPIC 220674823 c","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>",0,0.109100,0.001400,-0.001500,0,0.130,0.060,-0.060,0,"[Fe/H]"
"HD 3167 c","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>",0,0.184100,0.002700,-0.002800,0,-0.020,0.170,-0.170,0,"[Fe/H]"
"TrES-5 b","<a refstr=MISLIS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.448.2617M/abstract target=ref>Mislis et al. 2015</a>",0,0.024590,0.000700,-0.000700,0,0.200,0.100,-0.100,0,"[Fe/H]"
"XO-3 b","<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",0,0.045390,0.000810,-0.000840,0,-0.177,0.080,-0.080,0,"[Fe/H]"
"HD 17156 b","<a refstr=FISCHER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...669.1336F/abstract target=ref> Fischer et al. 2007 </a>",0,0.150000,,,0,0.240,0.030,-0.030,0,"[Fe/H]"
"HAT-P-17 c","<a refstr=HOWARD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749..134H/abstract target=ref> Howard et al. 2012 </a>",0,2.555000,0.041000,-0.041000,0,0.000,0.080,-0.080,0,"[Fe/H]"
"Kepler-1655 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.103000,,,0,-0.240,0.101,-0.101,0,"[Fe/H]"
"Kepler-1876 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.077600,,,0,-0.060,0.260,-0.300,0,"[Fe/H]"
"Kepler-10 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.239700,,,0,-0.150,0.040,-0.040,0,"[Fe/H]"
"Kepler-107 e","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.122100,,,0,0.260,0.100,-0.100,0,"[Fe/H]"
"Kepler-107 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.043900,,,0,0.260,0.100,-0.100,0,"[Fe/H]"
"Kepler-454 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.096400,,,0,0.340,0.100,-0.150,0,"[Fe/H]"
"Kepler-538 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.353900,,,0,-0.100,0.150,-0.150,0,"[Fe/H]"
"Kepler-93 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.052500,,,0,-0.200,0.150,-0.150,0,"[Fe/H]"
"Kepler-103 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.128000,,,0,0.070,0.109,-0.109,0,"[Fe/H]"
"Kepler-103 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.642500,,,0,0.070,0.109,-0.109,0,"[Fe/H]"
"Kepler-103 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.128000,,,0,0.070,0.109,-0.109,0,"[Fe/H]"
"Kepler-10 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.239700,,,0,-0.150,0.040,-0.040,0,"[Fe/H]"
"Kepler-107 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.058900,,,0,0.270,0.101,-0.101,0,"[Fe/H]"
"Kepler-107 d","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.081300,,,0,0.270,0.101,-0.101,0,"[Fe/H]"
"HD 213885 c","<a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>",0,0.056798,0.000440,-0.000320,0,-0.040,0.030,-0.030,0,"[Fe/H]"
"Kepler-1966 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.076300,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-196 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.448400,,,0,-0.060,0.150,-0.150,0,"[Fe/H]"
"Kepler-1725 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.130200,,,0,0.000,0.150,-0.150,0,"[Fe/H]"
"Kepler-1795 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.100400,,,0,0.280,0.160,-0.260,0,"[Fe/H]"
"Kepler-1716 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.185500,,,0,-0.240,0.160,-0.140,0,"[Fe/H]"
"Kepler-1953 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.060700,,,0,-0.020,0.300,-0.300,0,"[Fe/H]"
"Kepler-1530 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.037100,,,0,0.200,0.180,-0.260,0,"[Fe/H]"
"Kepler-1907 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.056500,,,0,-0.160,0.360,-0.260,0,"[Fe/H]"
"Kepler-1956 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.056300,,,0,0.040,0.240,-0.300,0,"[Fe/H]"
"Kepler-1763 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.025700,,,0,0.020,0.140,-0.140,0,"[Fe/H]"
"Kepler-529 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.030900,,,0,-0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-1882 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.124100,,,0,0.210,0.170,-0.270,0,"[Fe/H]"
"Kepler-1804 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.101700,,,0,0.100,0.260,-0.260,0,"[Fe/H]"
"Kepler-1795 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.100200,,,0,0.280,0.150,-0.300,0,"[Fe/H]"
"Kepler-1770 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.126100,,,0,0.100,0.220,-0.240,0,"[Fe/H]"
"Kepler-589 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.042600,,,0,-0.020,0.280,-0.240,0,"[Fe/H]"
"Kepler-1865 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.034400,,,0,-0.060,0.280,-0.260,0,"[Fe/H]"
"Kepler-1664 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.118900,,,0,0.160,0.180,-0.280,0,"[Fe/H]"
"Kepler-1067 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.015800,,,0,-0.140,0.280,-0.260,0,"[Fe/H]"
"Kepler-1943 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.057100,,,0,-0.060,0.220,-0.300,0,"[Fe/H]"
"Kepler-1798 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.106700,,,0,-0.100,0.200,-0.100,0,"[Fe/H]"
"Kepler-1488 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.227800,,,0,-0.140,0.260,-0.300,0,"[Fe/H]"
"Kepler-1932 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.012600,,,0,0.400,0.080,-0.260,0,"[Fe/H]"
"Kepler-1321 d","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.056600,,,0,0.380,0.080,-0.300,0,"[Fe/H]"
"KOI-984 b","<a refstr=SUN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.4604S/abstract target=ref>Sun et al. 2022</a>",0,0.050400,0.000600,-0.000600,0,0.120,0.100,-0.100,0,"[Fe/H]"
"Kepler-1165 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.194900,,,0,-0.060,0.200,-0.300,0,"[Fe/H]"
