pl_name,pl_refname,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio
"HAT-P-25 b","<a refstr=WANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASP..130f4401W/abstract target=ref>Wang et al. 2018</a>",0,0.046600,0.000810,-0.000800,0,0.294,0.080,-0.080,0,"[Fe/H]"
"K2-148 b","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>",0,0.045400,0.001400,-0.001400,0,-0.110,0.120,-0.120,0,"[Fe/H]"
"HAT-P-54 b","<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",0,0.041220,0.000430,-0.000430,0,-0.127,0.080,-0.080,0,"[Fe/H]"
"KELT-6 b","<a refstr=COLLINS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147...39C/abstract target=ref> Collins et al. 2014 </a>",0,0.079390,0.001000,-0.000990,0,-0.281,0.039,-0.038,0,"[Fe/H]"
"WASP-18 b","<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>",0,0.020430,0.000320,-0.000320,0,0.000,0.090,-0.090,0,"[Fe/H]"
"HD 106515 A b","<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>",0,4.590000,0.010000,-0.010000,0,0.030,0.020,-0.020,0,"[Fe/H]"
"K2-148 c","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>",0,0.061600,0.001900,-0.001900,0,-0.110,0.120,-0.120,0,"[Fe/H]"
"eps CrB b","<a refstr=LEE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...546A...5L/abstract target=ref> Lee et al. 2012 </a>",0,1.300000,,,0,-0.094,0.001,-0.001,0,"[Fe/H]"
"HD 4732 b","<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...762....9S/abstract target=ref> Sato et al. 2013 </a>",0,1.190000,0.050000,-0.050000,0,0.010,0.040,-0.040,0,"[Fe/H]"
"HD 37605 c","<a refstr=WANG_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...761...46W/abstract target=ref> Wang et al. 2012 </a>",0,3.814000,0.058000,-0.058000,0,0.336,0.030,-0.030,0,"[Fe/H]"
"HD 40307 b","<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>",0,0.046800,0.002400,-0.002300,0,-0.310,0.030,-0.030,0,"[Fe/H]"
"HD 40307 d","<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>",0,0.132100,0.006600,-0.006600,0,-0.310,0.030,-0.030,0,"[Fe/H]"
"WASP-99 b","<a refstr=HELLIER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.440.1982H/abstract target=ref> Hellier et al. 2014 </a>",0,0.071700,0.001600,-0.001600,0,0.210,0.150,-0.150,0,"[Fe/H]"
"KPS-1 b","<a refstr=BURDANOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASP..130g4401B/abstract target=ref>Burdanov et al. 2018</a>",0,0.026900,0.001000,-0.001000,0,0.220,0.130,-0.130,0,"[Fe/H]"
"HD 209458 b","<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>",0,0.046340,0.000690,-0.000700,0,-0.006,0.060,-0.060,0,"[Fe/H]"
