planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,valid
1,1,3081,1.126385,0.0,1.126385,0.0005520538658782738,0.08926330923125164,0.08926330923125164,0.021575319737391643,0,1716.1694639144275,True
2,1,3104,3.766677,0.0,3.766677,0.0019388347216341847,0.12787290117741415,0.12787290117741415,0.028279628440488567,0,1457.6038958285528,True
3,1,3081,0.020386524,0.0,0.020386524,4.524056031975041e-06,0.032295074,0.032295074,35.622306,0,42.31907441024576,True
4,1,3401,12.387279,0.16532156383437197,12.552600866963783,46.352289785943874,0.21784051107513044,0.4545067779821097,0.04489697461303165,0,1191.6801102625222,True
5,1,3082,0.2814333909799003,0.0,0.2814333909799003,0.00013355247643608757,0.05796204531729898,0.05796204531729898,0.016464349028093347,0,1942.9595834909842,True
6,1,3211,0.18821066,4.1529812132516376e-05,0.18825218229429627,0.0007901187217508035,0.06599315378926582,0.08080347942542428,17.166332,0,66.95256158516284,True
8,1,3042,3.1832191,0.0,3.1832191,0.00173123760209535,0.12288973,0.12288973,0.034269543481236286,0,1325.5190205441518,True
9,1,3187,0.073336315,0.0,0.073336315,1.7977832773689256e-05,0.04884557530146276,0.04884557530146276,22.401816,0,53.3682291684717,True
1,4,5342,55.959345,5912.205,5968.1644,128808.2770962034,0.1054532477344745,1.2159037240308586,0.87641551,0,1678.5577833128498,True
9,4,4515,1.4219329,0.25726075762045136,1.6791936019303917,0.021002392598104474,0.11363492345733486,0.6621616300102067,1.3775904,0,190.31779307594775,True
10,4,4306,10.167095,0.0,10.167095,0.0053824303980205355,0.1681531656691497,0.1681531656691497,0.02184703790388054,0,1708.2249937219954,True
1,5,982,0.22199953,0.0,0.22199953,0.00011280028348881232,0.053913828,0.053913828,0.27771054,0,479.12896,True
2,5,1078,0.020921148,0.0,0.020921148,1.0330174160311435e-05,0.024750488,0.024750488,0.12088524,0,726.2223251154281,True
3,5,1078,0.01461425,0.0,0.01461425,7.2316408093826595e-06,0.021978925,0.021978925,0.092252021,0,831.3146034548672,True
4,5,1183,0.6223953,0.00018400658943875642,0.6225792995868492,0.000752827423185135,0.07534948995595256,0.09568062055654593,0.94323344,0,234.26059683179176,True
5,5,1078,0.018542607,0.0,0.018542607,5.005429036054586e-06,0.030503161,0.030503161,9.2783958,0,82.8943585501912,True
6,5,1078,0.21156371,0.0,0.21156371,5.801954960813256e-05,0.067765841,0.067765841,4.1191683,0,124.41128486072859,True
7,5,1078,0.014747708,0.0,0.014747708,7.281932787602838e-06,0.022033897,0.022033897,0.10332403,0,785.5218965534223,True
8,5,1078,0.010014801,0.0,0.010014801,2.4078714323689065e-06,0.025220853,0.025220853,24.74803,0,50.75558356012069,True
9,5,1078,0.010000002,0.0,0.010000002,2.2191404292403135e-06,0.025468742,0.025468742,38.275204,0,40.81461949000366,True
10,5,1183,1.9772013,0.04889560770258465,2.02609689889818,0.00830009504955211,0.12381264471075638,0.23714423275556457,1.4991285,0,186.22704917344475,True
1,7,2306,0.028505973,0.0,0.028505973,6.793824427307423e-06,0.035785617,0.035785617,25.535501,0,49.97107772735885,True
2,7,2306,0.019174182,0.0,0.019174182,4.43378903978221e-06,0.031477794,0.031477794,32.661976,0,44.17791608571779,True
3,7,2306,0.97907466,0.0,0.97907466,0.0004813695198330106,0.085231474,0.085231474,0.090860523,0,837.3532131130315,True
4,7,2419,1.1723069,0.006038816865552174,1.1783457008000509,0.0038744255939603144,0.09163306052985926,0.20342967524312158,0.22929746,0,527.4623204276658,True
5,7,2419,2.45151,0.1603204321229872,2.611830409848485,0.026346204665278306,0.11533999356891086,0.47668499150374033,0.27770163,0,479.2534923888044,True
6,7,2306,0.2629078,0.0,0.2629078,0.00012931856718247296,0.056679123,0.056679123,0.11884731,0,730.9643435634923,True
7,7,2899,3.5945404,0.022738957751776416,3.6172793135996075,0.12196954411116905,0.16546523606713415,0.2369502974784612,6.2931039,0,127.63056853458272,True
8,7,2306,0.16162123,0.0,0.16162123,7.980169282568016e-05,0.048690104,0.048690104,0.057311661,0,1054.0820470560445,True
9,7,2419,2.9286661,0.34758409435938886,3.2762501800456447,0.04624255970068467,0.12184982356891087,0.5869346141430202,0.36412809,0,418.5701104676683,True
10,7,2419,3.6783535,0.1674628658576138,3.8458163235831115,0.04184402823370103,0.12838175176492964,0.36580536858260426,0.18910105,0,580.760387329276,True
1,11,4277,40.258089,2183.3078,2223.5659,5335.017393945734,0.13307331203309244,1.220559435976924,0.78181348,0,758.2347125662483,True
2,11,4119,6.7639185,0.0,6.7639185,0.003630543642314096,0.15099797808616836,0.15099797808616836,0.052385213658654096,0,1103.1146872411225,True
