planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,valid
1,1,3078,1.126385,0.0,1.126385,0.0005548092277923267,0.08926359958499815,0.08926359958499815,0.021576867640804274,0,1715.5777480577385,True
2,1,3101,3.766677,0.0,3.766677,0.001948511777330078,0.12787319045171228,0.12787319045171228,0.028280440333859205,0,1456.9362074835967,True
3,1,3078,0.020386524,0.0,0.020386524,4.546636107202659e-06,0.032295087043691204,0.032295087043691204,35.622306,0,42.305999932053126,True
4,1,3338,12.387279,0.2569932585056422,12.644272678737162,60.77022148502599,0.21761422583010015,0.5217209527452771,0.04489730898947636,0,1191.2495801901862,True
5,1,3078,0.28603872583517276,0.0,0.28603872583517276,0.00013752987786195962,0.0583257803001529,0.0583257803001529,0.01646593192478417,0,1942.298148300037,True
6,1,3147,0.18821066,4.225637190373972e-05,0.18825291250318563,0.0011148873815537057,0.0660221438363309,0.08226453153345083,17.166332,0,70.0394745456672,True
8,1,3039,3.1832191,0.0,3.1832191,0.0017398784032969764,0.12289006280463102,0.12289006280463102,0.03426978513180346,0,1325.131437743788,True
9,1,3128,0.073336315,1.2765869302746943e-06,0.07333759188175404,0.0001600702959083042,0.04889331397454656,0.052655934600447575,22.401816,0,57.03379317338135,True
1,4,5256,55.959345,5912.205,5968.1644,170246.15271465742,0.1080454180901188,1.255211013634805,0.87641551,0,1771.3385808890862,True
9,4,4452,1.4219329,0.25892310874628344,1.6808559573181014,0.024338653098282606,0.11371108715181408,0.6907664001622934,1.3775904,0,190.2619578195627,True
10,4,4303,10.167095,0.0,10.167095,0.005409295439452821,0.16815344150430905,0.16815344150430905,0.021860335369665626,0,1706.9481639185483,True
1,5,978,0.22199953,0.0,0.22199953,0.00011336328660207406,0.05391387435162743,0.05391387435162743,0.27771054,0,478.9938206352567,True
2,5,1075,0.020921148,0.0,0.020921148,1.0381733883662463e-05,0.024750508134982738,0.024750508134982738,0.12088524,0,725.8592350769832,True
3,5,1075,0.01461425,0.0,0.01461425,7.2677346158605454e-06,0.02197894612146684,0.02197894612146684,0.092252021,0,830.8989721933539,True
4,5,1120,0.6223953,0.0003274328469284899,0.6227227257559909,0.0007415218454258273,0.07539528528718144,0.10040337253004944,0.94323344,0,234.16376985279572,True
5,5,1075,0.018542607,0.0,0.018542607,5.0304116396743065e-06,0.030503172526943685,0.030503172526943685,9.2783958,0,82.85291407048433,True
6,5,1075,0.21156371,0.0,0.21156371,5.83091320992887e-05,0.06776587841864032,0.06776587841864032,4.1191683,0,124.34908051120334,True
7,5,1075,0.014747708,0.0,0.014747708,7.318277641364535e-06,0.02203391617553042,0.02203391617553042,0.10332403,0,785.1291612084749,True
8,5,1075,0.010014801,0.0,0.010014801,2.4198893566472486e-06,0.025220858743198002,0.025220858743198002,24.74803,0,50.730207962076285,True
9,5,1075,0.010000002,0.0,0.010000002,2.230216412696776e-06,0.025468746783745683,0.025468746783745683,38.275204,0,40.794212994165854,True
10,5,1120,1.9772013,0.04908850187036896,2.0262898256504376,0.008747817198921645,0.12383582209376189,0.23854403771947508,1.4991285,0,186.184537651008,True
1,7,2303,0.028505973,0.0,0.028505973,6.827733232192557e-06,0.035785634522174994,0.035785634522174994,25.535501,0,49.95744663186114,True
2,7,2303,0.019174182,0.0,0.019174182,4.455918588881275e-06,0.03147780771082102,0.03147780771082102,32.661976,0,44.16586495419148,True
3,7,2303,0.97907466,0.0,0.97907466,0.000483772093617527,0.08523163685687776,0.08523163685687776,0.090860523,0,837.1247962159904,True
4,7,2356,1.1723069,0.008925934348224598,1.1812328899866236,0.004012168630516232,0.09169945357152638,0.22909007061950437,0.22929746,0,527.2758461763419,True
5,7,2356,2.45151,0.16815203264804518,2.6196619682881215,0.029551575521697234,0.11538328996297682,0.5032942089708315,0.27770163,0,479.08664610229556,True
6,7,2303,0.2629078,0.0,0.2629078,0.00012996401131354143,0.056679217837367575,0.056679217837367575,0.11884731,0,730.7649499659094,True
7,7,2812,3.5945404,0.022743534314488452,3.6172839,0.1514196661507526,0.16574825282402528,0.24150895087131796,6.2931039,0,132.02690783896134,True
8,7,2303,0.16162123,0.0,0.16162123,8.019999245391408e-05,0.04869022130927608,0.04869022130927608,0.057311662,0,1053.7944398515501,True
9,7,2356,2.9286661,0.3555676376946095,3.2842337476946093,0.052033039652711124,0.12190201252328213,0.6139173561328524,0.36412809,0,418.4254803696613,True
10,7,2356,3.6783535,0.17681933819784582,3.855172795377807,0.04712546118396212,0.1284325004824425,0.3805403914516384,0.18910105,0,580.5595165101212,True
1,11,4214,40.258089,2183.3078,2223.5659,6655.541651215615,0.1335855025573257,1.2295367698311768,0.78181348,0,797.9105585303571,True
2,11,4116,6.7639185,0.0,6.7639185,0.003648664962836897,0.15099827628775772,0.15099827628775772,0.05238528582859697,0,1102.5987552461336,True
5,11,4116,8.8800171,0.0,8.8800171,0.004551978814567503,0.161146484078971,0.161146484078971,0.032990812809964506,0,1381.3152747220665,True
9,11,4437,3.9586217,0.0,3.9586217,0.0019484351481517204,0.12886959423740257,0.12886959423740257,0.02075708048426246,0,1734.2134123239907,True
1,12,1612,1.2211084,0.00010159941564153038,1.2212100577551668,0.0025165126749809815,0.09146819017470521,0.11659522043964753,0.21273122,0,543.9507939584125,True
2,12,1562,0.17045332,0.0,0.17045332,4.6570457876107034e-05,0.06334904782144957,0.06334904782144957,7.3263801,0,93.2615926678848,True
3,12,1562,0.058666908,0.0,0.058666908,1.5962159781487395e-05,0.044774121804360606,0.044774121804360606,9.9475026,0,80.03344739398965,True
4,12,1562,0.34047039,0.0,0.34047039,0.0001689618648732067,0.06150618925904529,0.06150618925904529,0.1246417,0,706.2334190984112,True
5,12,1562,0.3495313,0.0,0.3495313,9.557425765726017e-05,0.07929848642315938,0.07929848642315938,6.3990083,0,99.77134947347943,True
6,12,1562,0.04456881,0.0,0.04456881,1.203041502922099e-05,0.04088720068945195,0.04088720068945195,11.220089,0,75.35715900766081,True
7,12,1612,7.7442207,3.103664988827184,10.847885886388996,0.6285537997476861,0.18033010780905287,0.7594555111559529,0.52273953,0,349.76423510821604,True
8,12,1562,0.023295893,0.0,0.023295893,6.124021895694698e-06,0.0330131671711255,0.0330131671711255,15.896506,0,63.32003904183873,True
9,12,1612,4.1586636,0.362282169823824,4.520945765189553,0.07483772826083428,0.13445535634271588,0.45731441240750603,0.32853132,0,440.5608810377203,True
1,15,6593,0.13159668,0.0,0.13159668,6.636055159616887e-05,0.045662312498073544,0.045662312498073544,0.078177131,0,857.038007156778,True
3,15,6653,0.20039999,0.00010921132706305986,0.2005092,0.0014258444989457269,0.06854089630464882,0.09210497280164702,29.139892,0,65.20016360920255,True
