planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,valid
2,1,3263,3.7664067,0.0,3.7664067,7.9382949e-05,0.12812481,0.12812481,0.025371815,0,1865.1899,True
3,1,3206,0.020386524,0.0,0.020386524,1.8346352e-07,0.032301491,0.032301491,35.622306,0,51.318693,True
4,1,3665,12.37828,0.0,12.37828,0.00019394161,0.20870057,0.20870057,0.044037199,0,1454.8548,True
6,1,3471,0.18821066,3.1006187e-05,0.18824166,2.840565e-06,0.065752476,0.072185773,17.166332,0,66.581934,True
8,1,3167,3.1832191,0.0,3.1832191,7.0283849e-05,0.12306981,0.12306981,0.033565641,0,1623.858,True
9,1,3337,0.073336315,0.0,0.073336315,7.2968531e-07,0.048857098,0.048857098,22.401816,0,64.706534,True
1,4,5985,55.959345,5912.205,5968.1644,152.73784,0.088706123,0.96381509,0.87641548,0,387.2544,True
9,4,5486,1.4219329,0.22325621,1.6451891,0.00017410726,0.11143563,0.30219535,1.3775904,0,230.55436,True
1,5,1106,0.22199953,0.0,0.22199953,4.5967123e-06,0.053941211,0.053941211,0.27771054,0,581.03518,True
2,5,1203,0.020921148,0.0,0.020921148,4.1887211e-07,0.024769466,0.024769466,0.12088524,0,880.66172,True
3,5,1203,0.01461425,0.0,0.01461425,2.9323151e-07,0.021998185,0.021998185,0.092252002,0,1008.1031,True
4,5,1361,0.6223953,0.0,0.6223953,1.3797322e-05,0.07518208,0.07518208,0.94323344,0,315.27278,True
5,5,1203,0.018542607,0.0,0.018542607,2.0296217e-07,0.030513674,0.030513674,9.2783958,0,100.52278,True
6,5,1203,0.21156371,0.0,0.21156371,2.3526003e-06,0.067800561,0.067800561,4.1191683,0,150.86875,True
7,5,1203,0.014747708,0.0,0.014747708,2.9527077e-07,0.022052155,0.022052155,0.10332402,0,952.57204,True
8,5,1203,0.010014801,0.0,0.010014801,9.7635348e-08,0.025226587,0.025226587,24.74803,0,61.549332,True
9,5,1203,0.010000002,0.0,0.010000002,8.9982607e-08,0.025473623,0.025473623,38.275204,0,49.494309,True
10,5,1526,1.9772013,0.045925589,2.0231269,0.0001537909,0.12227776,0.18423558,1.4991285,0,225.15875,True
1,7,2431,0.028505973,0.0,0.028505973,2.75527e-07,0.035793671,0.035793671,25.535501,0,60.599181,True
2,7,2431,0.019174182,0.0,0.019174182,1.7981457e-07,0.031484172,0.031484172,32.661976,0,53.5739,True
3,7,2431,0.97907466,0.0,0.97907466,1.9522185e-05,0.085306701,0.085306701,0.090859135,0,1015.4534,True
4,7,2612,1.1723069,0.0,1.1723069,2.5283415e-05,0.090929696,0.090929696,0.22929745,0,639.48213,True
5,7,2775,2.45151,0.033498621,2.4850086,0.00015303521,0.1137662,0.18227613,0.27770162,0,581.0224,True
6,7,2431,0.2629078,0.0,0.2629078,5.2445801e-06,0.056722865,0.056722865,0.11884722,0,886.42987,True
7,7,4383,3.5945404,0.022676812271143317,3.6172172,0.00024248601865971736,0.16096342928907323,0.1879340983123327,6.2931039,0,110.00982726185883,True
8,7,2431,0.16162123,0.0,0.16162123,3.2363982e-06,0.048744021,0.048744021,0.057308781,0,1278.3011,True
9,7,2724,2.9286661,0.19929522,3.1279613,0.00031426758,0.11989784,0.25603924,0.36412809,0,507.4282,True
10,7,2943,3.6783535,0.021930773,3.7002842,0.00022512131,0.12653354,0.17599394,0.18910095,0,704.07532,True
1,11,4669,40.258089,2183.3078,2223.5659,17.543111,0.12191437,1.0429019,0.78181346,0,323.28581,True
2,11,4243,6.7639185,0.0,6.7639185,0.00014847948,0.15117463,0.15117463,0.052186422,0,1340.2348,True
5,11,4302,8.8800171,0.0,8.8800171,0.00018600968362885266,0.1614722495067595,0.1614722495067595,0.02875301902461235,0,1794.9558135959865,True
1,12,1775,1.2211084,0.0,1.2211084,2.5012035e-05,0.091359209,0.091359209,0.21273121,0,659.68866,True
2,12,1690,0.17045332,0.0,0.17045332,1.8791798e-06,0.063373514,0.063373514,7.3263801,0,113.13002,True
3,12,1690,0.058666908,0.0,0.058666908,6.4409434e-07,0.044788988,0.044788988,9.9475026,0,97.083754,True
4,12,1690,0.34047039,0.0,0.34047039,6.8178355e-06,0.061551992,0.061551992,0.12464163,0,856.68946,True
5,12,1698,0.3495313,0.0,0.3495313,3.8700714e-06,0.079331382,0.079331382,6.3990083,0,121.03442,True
6,12,1690,0.04456881,0.0,0.04456881,4.8544322e-07,0.040900043,0.040900043,11.220089,0,91.41123,True
7,12,2201,7.7442207,2.9823643,10.726585,0.0030611545,0.17537627,0.45838905,0.52273953,0,423.5042,True
8,12,1690,0.023295893,0.0,0.023295893,2.4711241e-07,0.033022001,0.033022001,15.896506,0,76.809725,True
9,12,1877,4.1586636,0.24464897,4.4033126,0.00050271729,0.13228181,0.25131043,0.32853131,0,534.2115,True
1,15,6721,0.13159668,0.0,0.13159668,2.6778516e-06,0.045703471,0.045703471,0.078176914,0,1039.6001,True
3,15,7006,0.20039999,0.00010529328,0.20050528,3.1015898e-06,0.068164784,0.075731852,29.139892,0,49.55203,True
4,15,7059,50.771396,1047.7545,1098.5259,3.9932319,0.1614788,1.0432717,0.87562218,0,278.72759,True
7,15,7163,20.964279,3211.6474,3232.6116,40.653896,0.086677353,1.020427,1.4582897,0,282.3267,True
9,15,7233,0.42380249,0.00050223627,0.42430473,8.2201014e-06,0.085985405,0.095897172,28.878439,0,54.722947,True
10,15,7041,12.813439,273.1965,286.00994,0.30344196,0.15827064,1.0029168,3.1248859,0,160.74501,True
2,16,3063,0.072011709,0.0,0.072011709,7.2477453e-07,0.04847102,0.04847102,21.472513,0,66.149249,True
3,16,6424,12.932624,0.008608961233918853,12.941232557205222,18.132333974685565,0.2115393163404128,0.277769593929885,0.06523577849592825,0,1198.6498845692968,True
6,16,2862,0.095223505,0.0,0.095223505,9.9163032e-07,0.052979638,0.052979638,18.714165,0,70.695213,True
7,16,2869,0.039774264,0.0,0.039774264,3.8048933e-07,0.040075102,0.040075102,26.814278,0,59.217257,True
8,16,3257,12.226084,25.94841,38.174495,0.019335409,0.19967783,0.72187656,1.3791404,0,234.81774,True
10,16,2910,10.714426,0.0,10.714426,0.00023220497151678197,0.17027534036550135,0.17027534036550135,0.03388001129682738,0,1656.916502437559,True
1,18,1061,0.01032269,0.0,0.01032269,9.6786447e-08,0.025612165,0.025612165,33.282414,0,53.074116,True
2,18,1061,0.010258727,0.0,0.010258727,9.3130416e-08,0.025664622,0.025664622,34.447065,0,52.171753,True
